timestamp,open,high,low,close,adjusted close,volume,dividend amount
2022-09-09,361.1000,374.6100,357.0000,373.7500,373.7500,26725343,0.0000
2022-08-31,376.1200,396.8900,363.1100,363.1500,363.1500,82629491,0.0000
2022-07-29,346.1600,379.6600,341.0450,378.7900,378.7900,91517549,0.0000
2022-06-30,381.6100,383.7400,334.2400,346.8800,346.8800,118461474,1.4321
2022-05-31,378.7900,394.9250,349.7600,379.6800,378.1312,142808687,0.0000
2022-04-29,416.6800,420.8200,378.0000,378.7000,377.1552,109293081,0.0000
2022-03-31,400.0100,424.7200,381.6400,415.1700,413.4764,136782177,1.3737
2022-02-28,414.3400,421.1800,377.5000,401.3600,398.4009,178123502,0.0000
2022-01-31,437.9300,441.2600,386.8400,413.6900,410.6400,209277200,0.0000
2021-12-31,424.4700,440.3600,412.7700,436.5700,433.3513,142126854,1.5329
2021-11-30,423.1900,435.4100,418.6300,419.0600,414.4779,100053866,0.0000
2021-10-29,396.2262,422.5150,391.9600,422.1600,417.5440,93894175,0.0000
2021-09-30,416.0500,417.4400,394.3400,394.4000,390.0875,103248307,1.3084
2021-08-31,404.7800,416.5600,400.9200,415.0500,409.1715,81058621,0.0000
2021-07-30,394.3000,406.1300,387.9300,403.1500,397.4400,87866050,0.0000
2021-06-30,388.5000,394.4500,382.5200,393.5200,387.9464,68852165,1.3329
2021-05-28,385.5600,388.6800,372.1300,386.1300,379.3749,89691613,0.0000
2021-04-30,366.2000,386.7400,366.0300,383.5700,376.8597,77401939,0.0000
2021-03-31,354.5500,366.0500,341.9150,364.3000,357.9268,115909237,1.2625
2021-02-26,343.6300,362.3700,341.4000,349.5900,342.2870,65076646,0.0000
2021-01-29,345.0200,354.6450,335.3700,340.1800,333.0736,67318058,0.0000
2020-12-31,335.9200,344.3700,333.7700,343.6900,336.5103,62049300,1.3829
2020-11-30,303.3700,335.2000,300.6300,332.6400,324.3622,67765492,0.0000
2020-10-30,310.1600,325.2220,296.3700,299.8200,292.3589,62743173,0.0000
2020-09-30,321.8100,329.6700,295.0400,307.6500,299.9941,74318208,1.3085
2020-08-31,301.6500,322.8300,301.1300,321.0200,311.6955,61288229,0.0000
2020-07-31,284.3700,300.6200,283.9500,300.1000,291.3831,74664917,0.0000
2020-06-30,279.0700,297.3200,272.7700,283.4300,275.1973,98428161,1.4333
2020-05-29,262.1400,282.0400,253.9700,279.7500,270.2394,92403670,0.0000
2020-04-30,227.9200,271.0000,224.1300,267.1000,258.0194,148503528,0.0000
2020-03-31,274.0000,288.3200,200.5500,236.8200,228.7689,280853662,1.1780
2020-02-28,297.1200,311.5900,262.2500,271.7400,261.3348,99491729,0.0000
2020-01-31,297.2900,305.9200,294.3500,295.6900,284.3677,66578377,0.0000
2019-12-31,289.0300,297.5100,282.1000,295.8000,284.4735,56493484,1.4290
2019-11-29,280.0500,289.7800,279.9100,288.6500,276.2598,43805096,0.0000
2019-10-31,273.4400,279.6900,261.5900,278.5500,266.5933,52914243,0.0000
2019-09-30,266.8300,277.9800,265.6800,272.6000,260.8987,45908331,1.3014
2019-08-30,273.2800,276.2800,258.7000,268.6000,255.8498,76712465,0.0000
2019-07-31,272.4600,277.5500,270.3000,273.0800,260.1172,55504714,0.0000
2019-06-28,252.8300,272.7900,250.7700,269.1500,256.3737,48687588,1.3859
2019-05-31,270.6800,270.8700,252.7700,252.8700,239.6258,72319825,0.0000
2019-04-30,261.4600,270.4100,261.1900,270.0100,255.8681,41356493,0.0000
2019-03-29,257.8100,262.5900,250.3400,259.5400,245.9465,62971771,1.4551
2019-02-28,248.3100,258.6100,246.2000,256.0700,241.3151,57657355,0.0000
2019-01-31,226.1800,248.5300,223.9700,248.0100,233.7195,81248101,0.0000
2018-12-31,257.6500,257.7400,214.8300,229.8100,216.5682,128542134,1.2890
2018-11-30,249.6300,258.4400,241.7300,253.4800,237.5614,61115981,0.0000
2018-10-31,268.4600,269.4700,238.7900,248.7900,233.1659,91440664,0.0000
2018-09-28,266.3500,270.6700,263.4500,267.0500,250.2792,48733249,1.2067
2018-08-31,258.6400,268.0500,256.4800,266.7200,248.8425,49557399,0.0000
2018-07-31,247.5600,261.2500,247.3200,258.4000,241.0801,45590887,0.0000
2018-06-29,250.2300,256.7700,246.6300,249.5100,232.7860,54661028,1.1573
2018-05-31,242.4500,251.9400,237.9200,248.7900,231.0399,43982726,0.0000
2018-04-30,241.1900,249.2200,233.9200,242.9200,225.5887,57321176,0.0000
2018-03-29,249.5300,257.7100,237.5300,242.0800,224.8086,63874271,1.0837
2018-02-28,258.2900,260.1200,232.4200,249.3400,230.5249,88662613,0.0000
2018-01-31,246.1500,263.3700,245.7400,258.9900,239.4467,63556077,0.0000
2017-12-29,243.2500,248.0100,239.5200,245.2900,226.7805,44188882,1.1839
2017-11-30,237.0300,244.4000,234.8200,243.3500,223.9073,43297760,0.0000
2017-10-31,231.0000,236.8800,230.9100,236.1300,217.2641,33049401,0.0000
2017-09-29,227.7600,230.9000,224.9800,230.7600,212.3232,33379043,1.1760
2017-08-31,227.3000,228.6200,222.1200,227.3000,208.0744,37614775,0.0000
2017-07-31,223.0900,227.7800,220.7200,226.6400,207.4702,37713634,0.0000
2017-06-30,222.1400,225.7650,220.4191,222.0600,203.2776,43548871,1.0100
2017-05-31,219.1600,222.2400,216.1301,221.6700,202.0072,40645231,0.0000
2017-04-28,216.5100,219.8979,213.4700,218.6000,199.2095,39163153,0.0000
2017-03-31,218.9000,220.6600,212.6200,216.3500,197.1591,47635680,0.9980
2017-02-28,209.6200,217.8956,208.2300,217.0700,196.9013,35461170,0.0000
2017-01-31,206.6800,210.9000,205.5600,208.9700,189.5539,57281277,0.0000
2016-12-30,202.6800,209.7000,201.2400,205.3100,186.2340,52288794,1.2960
2016-11-30,195.5200,203.6920,191.3200,202.4000,182.4521,52717518,0.0000
2016-10-31,198.1800,198.9500,193.9200,195.1300,175.8986,33928914,0.0000
2016-09-30,199.5000,201.1500,194.1200,198.6900,179.1078,44972180,0.8830
2016-08-31,199.3300,201.5100,196.8800,199.5200,179.0443,43950860,0.0000
2016-07-29,192.0900,199.6000,189.9700,199.2800,178.8289,41943696,0.0000
2016-06-30,191.8800,194.9500,182.2700,192.2000,172.4755,61820387,0.9530
2016-05-31,189.8100,193.2700,185.9700,192.5400,171.9239,38143184,0.0000
2016-04-29,187.4000,193.4300,186.2600,189.2200,168.9594,42411514,0.0000
2016-03-31,178.8400,189.7200,178.3300,188.5600,168.3700,50006524,1.0060
2016-02-29,176.6100,180.3600,166.0500,177.3800,157.5429,54703609,0.0000
2016-01-29,183.7700,185.1150,165.9600,177.7500,157.8715,82600328,0.0000
2015-12-31,192.0500,193.4462,183.3100,186.9300,166.0249,62484546,1.0920
2015-11-30,190.9800,194.0600,185.3600,191.3700,168.9706,38628911,0.0000
2015-10-30,175.9700,192.0000,173.3500,190.5600,168.2554,38175215,0.0000
2015-09-30,177.1100,185.9900,171.3601,175.7100,155.1435,57336788,0.9530
2015-08-31,193.0000,193.7500,168.0800,181.1100,159.0698,75865612,0.0000
2015-07-31,190.6500,195.4600,187.1900,192.9500,169.4689,35082721,0.0000
2015-06-30,194.2300,195.5300,188.2400,188.8400,165.8591,32509149,0.9020
2015-05-29,191.9600,195.9500,189.5300,193.4900,169.1578,25759190,0.0000
2015-04-30,189.1700,194.7400,187.4700,191.1000,167.0683,30250181,0.0000
2015-03-31,193.3100,194.4700,187.1500,189.2000,165.4073,35630044,0.9840
2015-02-27,183.5000,194.6500,181.4700,193.2000,168.0453,30736282,0.0000
2015-01-30,189.2900,189.7200,182.0868,182.9900,159.1647,51626988,0.0000
2014-12-31,189.2900,191.6340,181.4400,188.4000,163.8703,49040173,1.0260
2014-11-28,185.2000,190.6300,183.4500,190.0300,164.3935,27698042,0.0000
2014-10-31,180.3400,185.0500,166.8500,184.9300,159.9815,47155466,0.0000
2014-09-30,184.3000,185.8400,179.7700,180.5900,156.2270,17064009,0.8760
